TimeStamp_Tool0;Valid_Tool0;X_Tool0;Y_Tool0;Z_Tool0;QX_Tool0;QY_Tool0;QZ_Tool0;QR_Tool0;
4780936;1;-19.0280929327632;20.1916066416665;27.76632592546;0.0590223426757449;-0.201053795560925;-0.550851960041301;0.807871185569995;
4781047;1;-19.0231453609964;20.3136858688909;27.8858566315875;0.0742240528582452;-0.178592529631287;-0.55856322832353;0.806599416254432;
4781157;1;-18.8633870234612;20.5625994773575;28.1918142354417;0.111375497125257;-0.141229118512197;-0.584691873481692;0.791065893468325;
4781266;1;-18.7563107626518;20.7142263286196;28.4927456083173;0.133782508271737;-0.0955260223087508;-0.605509526445162;0.778675306483098;
4781376;1;-18.7630995988259;20.7774936468178;28.8419340219687;0.155079103411225;-0.0369543757145799;-0.609895637308079;0.776280978379148;
4781485;1;-18.7050459358926;20.8023322447613;29.1521625270628;0.184277910285812;0.00719800915781105;-0.613785950208336;0.767630541192642;
4781594;1;-18.5770654011368;20.792764345521;29.5235983339992;0.211610783091714;0.0565251443360187;-0.623231407098385;0.750738568173549;
4781703;1;-18.6123692021681;20.6533260083733;29.9339973489845;0.219095883708988;0.129843259224996;-0.613028313610979;0.747886360677133;
4781809;1;-18.6199197773063;20.5281794140885;30.2200036769306;0.23836446447982;0.173312854249201;-0.601402130929462;0.742603873905022;
4781919;1;-18.4425525576968;20.4134796248948;30.6004873033262;0.271816934173471;0.214390054595254;-0.606444448139475;0.715805553281048;
4782029;1;-18.2782155636037;20.3105985598715;30.9047776772649;0.293454603311251;0.247176005334424;-0.613326835984481;0.690375702385027;
4782139;1;-18.2334907816743;20.2408299095816;31.0487654697795;0.30654503428435;0.264028588700236;-0.611398679644676;0.680081392800387;
4782249;1;-18.1823755229495;20.2195623380132;31.1083066624234;0.318518569836439;0.266004319167488;-0.61422324907661;0.671205946895111;
4782358;1;-18.2105833425064;20.1783294527669;31.1382870186564;0.32280415128864;0.269540797679915;-0.60853278625874;0.672928737939665;
4782467;1;-18.2206716869629;20.2060830866283;31.0833396721983;0.317689947728376;0.262623452279185;-0.609398110746434;0.677300496119692;
4782574;1;-18.2003417039996;20.2779979309058;30.9876484063377;0.310965619686365;0.248657854458797;-0.617017085689627;0.678792730335337;
4782683;1;-18.2459438723653;20.2884780030249;30.931366486738;0.305419737585192;0.243316949481907;-0.613804181975007;0.686119575714178;
4782792;1;-18.2623685631765;20.329840243215;30.847970111392;0.304111134439202;0.231181493064895;-0.615292150348344;0.689555730085755;
4782902;1;-18.2614311146486;20.3342406359819;30.8357310644908;0.302552241336904;0.228871123779957;-0.615601422561481;0.690735143526081;
4783010;1;-18.2506946583641;20.369556803523;30.7995224564243;0.301535382910253;0.223631151154335;-0.617884683408008;0.69085746655612;
4783120;1;-18.3014953182158;20.3522706924006;30.7753245160974;0.298703932962707;0.221942370868469;-0.613124206214247;0.696847366501476;
4783230;1;-18.3782624956615;20.3838550110024;30.6507101851989;0.289194328532092;0.208898954668232;-0.60839975297459;0.708927082049945;
